from,to,from_code,to_code,from_type,to_type,from_dir,to_dir,distance
120022,120022,120.0,120.0,1.0,1.0,-1.0,-1.0,0.0
120022,120023,120.0,120.0,1.0,1.0,-1.0,1.0,0.0
120023,120022,120.0,120.0,1.0,1.0,1.0,-1.0,0.0
120022,120051,120.0,120.0,1.0,0.0,-1.0,-1.0,27.4
120051,120022,120.0,120.0,0.0,1.0,-1.0,-1.0,27.4
120022,120081,120.0,120.0,1.0,1.0,-1.0,0.0,30.2
120081,120022,120.0,120.0,1.0,1.0,0.0,-1.0,38.4
120022,120111,120.0,120.0,1.0,0.0,-1.0,1.0,0.0
120111,120022,120.0,120.0,0.0,1.0,1.0,-1.0,0.0
120022,120112,120.0,120.0,1.0,0.0,-1.0,1.0,0.0
120112,120022,120.0,120.0,0.0,1.0,1.0,-1.0,0.0
120022,120113,120.0,120.0,1.0,-1.0,-1.0,1.0,0.0
120113,120022,120.0,120.0,-1.0,1.0,1.0,-1.0,0.0
120022,134021,120.0,134.0,1.0,0.0,-1.0,0.0,719.7
134021,120022,134.0,120.0,0.0,1.0,0.0,-1.0,695.2
120022,134031,120.0,134.0,1.0,1.0,-1.0,1.0,719.7
134031,120022,134.0,120.0,1.0,1.0,1.0,-1.0,695.2
120022,134041,120.0,134.0,1.0,-1.0,-1.0,-1.0,702.3
134041,120022,134.0,120.0,-1.0,1.0,-1.0,-1.0,712.6
120022,134051,120.0,134.0,1.0,0.0,-1.0,-1.0,702.3
134051,120022,134.0,120.0,0.0,1.0,-1.0,-1.0,712.6
120022,134081,120.0,134.0,1.0,1.0,-1.0,-1.0,702.3
134081,120022,134.0,120.0,1.0,1.0,-1.0,-1.0,712.6
120022,134111,120.0,134.0,1.0,0.0,-1.0,1.0,719.7
134111,120022,134.0,120.0,0.0,1.0,1.0,-1.0,695.2
120022,134112,120.0,134.0,1.0,0.0,-1.0,1.0,719.7
134112,120022,134.0,120.0,0.0,1.0,1.0,-1.0,695.2
120022,140031,120.0,140.0,1.0,1.0,-1.0,1.0,1238.0
140031,120022,140.0,120.0,1.0,1.0,1.0,-1.0,1212.2
120022,140041,120.0,140.0,1.0,-1.0,-1.0,-1.0,1222.5
140041,120022,140.0,120.0,-1.0,1.0,-1.0,-1.0,1227.7
120022,140051,120.0,140.0,1.0,0.0,-1.0,-1.0,1222.5
140051,120022,140.0,120.0,0.0,1.0,-1.0,-1.0,1227.7
120022,140111,120.0,140.0,1.0,0.0,-1.0,1.0,1255.6
140111,120022,140.0,120.0,0.0,1.0,1.0,-1.0,1194.7
120022,140121,120.0,140.0,1.0,-1.0,-1.0,1.0,1255.6
140121,120022,140.0,120.0,-1.0,1.0,1.0,-1.0,1194.7
120022,159051,120.0,159.0,1.0,0.0,-1.0,-1.0,1924.8
159051,120022,159.0,120.0,0.0,1.0,-1.0,-1.0,1948.8
