from,to,distance
120021,120021,0.0
120021,120022,0.0
120022,120021,0.0
120021,120023,0.0
120023,120021,0.0
120021,120051,27.4
120051,120021,27.4
120021,120081,30.2
120081,120021,30.2
120021,120111,0.0
120111,120021,0.0
120021,120112,0.0
120112,120021,0.0
120021,120113,0.0
120113,120021,0.0
120021,134021,719.7
134021,120021,719.7
120021,134031,719.7
134031,120021,719.7
120021,134041,702.3
134041,120021,702.3
120021,134051,702.3
134051,120021,702.3
120021,134081,702.3
134081,120021,702.3
120021,134111,719.7
134111,120021,719.7
120021,134112,719.7
134112,120021,719.7
120021,140031,1238.0
140031,120021,1238.0
120021,140041,1222.5
140041,120021,1222.5
120021,140051,1222.5
140051,120021,1222.5
120021,140111,1255.6
140111,120021,1255.6
120021,140121,1255.6
140121,120021,1255.6
120021,159051,1924.8
159051,120021,1924.8
120021,159052,1924.8
159052,120021,1924.8
120021,159082,1924.8
159082,120021,1924.8
120021,159111,1970.5
159111,120021,1970.5
120021,159112,1970.5
159112,120021,1970.5
120021,159651,1882.8
159651,120021,1882.8
120021,159652,1882.8
159652,120021,1882.8
120021,159711,1924.8
159711,120021,1924.8
120021,159712,1882.8
159712,120021,1882.8
120021,159713,1933.9
159713,120021,1933.9
120021,405021,423.7
405021,120021,423.7
120021,405022,423.7
405022,120021,423.7
120021,405031,416.1
405031,120021,416.1
120021,405032,416.1
405032,120021,416.1
120021,405041,362.3
405041,120021,362.3
120021,405051,362.3
405051,120021,362.3
120021,405071,432.1
405071,120021,432.1
120021,405081,432.1
405081,120021,432.1
120021,405082,432.1
405082,120021,432.1
120021,405091,437.8
405091,120021,437.8
120021,405101,437.8
405101,120021,437.8
120021,405111,437.8
405111,120021,437.8
120021,405421,362.3
405421,120021,362.3
120021,405651,408.0
405651,120021,408.0
120021,405661,408.0
405661,120021,408.0
120021,405681,362.3
405681,120021,362.3
120021,405711,362.3
405711,120021,362.3
120021,405712,362.3
405712,120021,362.3
120021,405721,362.3
405721,120021,362.3
120021,406011,926.5
406011,120021,926.5
120021,406021,926.5
406021,120021,926.5
120021,406022,926.5
406022,120021,926.5
120021,406081,1231.4
406081,120021,1231.4
120021,406082,1231.4
406082,120021,1231.4
120021,406091,1231.4
406091,120021,1231.4
120021,406101,1262.2
406101,120021,1262.2
120021,406121,1262.2
406121,120021,1262.2
120021,701021,2098.0
701021,120021,2098.0
120021,701051,2090.9
701051,120021,2090.9
120021,701052,2090.9
701052,120021,2090.9
120021,701111,2105.9
701111,120021,2105.9
120021,701112,2105.9
701112,120021,2105.9
120021,701113,2105.9
701113,120021,2105.9
120021,701121,2105.9
701121,120021,2105.9
120021,702011,1820.2
702011,120021,1820.2
120021,702031,1820.2
702031,120021,1820.2
120021,702041,1857.8
702041,120021,1857.8
120021,702051,1857.8
702051,120021,1857.8
120021,702052,1857.8
702052,120021,1857.8
120021,702111,1839.1
702111,120021,1839.1
120021,702112,1839.1
702112,120021,1839.1
120021,702121,1839.1
702121,120021,1839.1
120021,703021,2090.3
703021,120021,2090.3
120021,703022,2090.3
703022,120021,2090.3
120021,703031,2090.3
703031,120021,2090.3
120021,703051,2170.5
703051,120021,2170.5
120021,703052,2170.5
703052,120021,2170.5
120021,703081,2111.5
703081,120021,2111.5
120021,703082,2111.5
703082,120021,2111.5
120021,703091,2111.5
703091,120021,2111.5
120021,703111,2046.7
703111,120021,2046.7
120021,703112,2046.7
703112,120021,2046.7
120021,709011,1921.6
709011,120021,1921.6
120021,709021,1921.6
709021,120021,1921.6
120021,709051,1921.6
709051,120021,1921.6
120021,709052,1921.6
709052,120021,1921.6
120021,709061,1921.6
709061,120021,1921.6
120021,709081,1938.5
709081,120021,1938.5
120021,709082,1938.5
709082,120021,1938.5
120021,709083,1938.5
709083,120021,1938.5
120021,709101,1938.5
709101,120021,1938.5
120021,709111,1938.5
709111,120021,1938.5
120021,709112,1938.5
709112,120021,1938.5
120021,709121,1938.5
709121,120021,1938.5
120021,709651,1921.6
709651,120021,1921.6
120021,709652,1921.6
709652,120021,1921.6
120021,709661,1921.6
709661,120021,1921.6
120021,709711,1938.5
709711,120021,1938.5
120021,709712,1938.5
709712,120021,1938.5
120021,711021,1780.4
711021,120021,1780.4
120021,711022,1780.4
711022,120021,1780.4
120021,711051,1923.0
711051,120021,1923.0
120021,711052,1923.0
711052,120021,1923.0
120021,711053,1923.0
711053,120021,1923.0
120021,711081,1805.2
711081,120021,1805.2
120021,711082,1805.2
711082,120021,1805.2
120021,711111,1900.4
711111,120021,1900.4
120021,711112,1900.4
711112,120021,1900.4
120021,711113,1900.4
711113,120021,1900.4
120021,711181,1928.4
711181,120021,1928.4
120021,711182,1928.4
711182,120021,1928.4
120021,711191,1900.4
711191,120021,1900.4
120021,711651,1780.4
711651,120021,1780.4
120021,711652,1780.4
711652,120021,1780.4
120021,711653,1780.4
711653,120021,1780.4
120021,711661,1780.4
711661,120021,1780.4
120021,711681,1938.7
711681,120021,1938.7
120021,711682,1938.7
711682,120021,1938.7
120021,711711,1805.2
711711,120021,1805.2
120021,711712,1805.2
711712,120021,1805.2
120021,711713,1805.2
711713,120021,1805.2
120021,711721,1805.2
711721,120021,1805.2
120021,711751,1862.7
711751,120021,1862.7
120021,711752,1862.7
711752,120021,1862.7
120021,711753,1862.7
711753,120021,1862.7
120021,711754,1862.7
711754,120021,1862.7
120021,711801,1907.0
711801,120021,1907.0
120021,711811,1907.0
711811,120021,1907.0
120021,711812,1907.0
711812,120021,1907.0
120022,120022,0.0
120022,120023,0.0
120023,120022,0.0
120022,120051,27.4
120051,120022,27.4
120022,120081,30.2
120081,120022,30.2
120022,120111,0.0
120111,120022,0.0
120022,120112,0.0
120112,120022,0.0
120022,120113,0.0
120113,120022,0.0
120022,134021,719.7
134021,120022,719.7
120022,134031,719.7
134031,120022,719.7
120022,134041,702.3
134041,120022,702.3
120022,134051,702.3
134051,120022,702.3
120022,134081,702.3
134081,120022,702.3
120022,134111,719.7
134111,120022,719.7
120022,134112,719.7
134112,120022,719.7
120022,140031,1238.0
140031,120022,1238.0
120022,140041,1222.5
140041,120022,1222.5
120022,140051,1222.5
140051,120022,1222.5
120022,140111,1255.6
140111,120022,1255.6
120022,140121,1255.6
140121,120022,1255.6
120022,159051,1924.8
159051,120022,1924.8
120022,159052,1924.8
159052,120022,1924.8
120022,159082,1924.8
159082,120022,1924.8
120022,159111,1970.5
159111,120022,1970.5
120022,159112,1970.5
159112,120022,1970.5
120022,159651,1882.8
159651,120022,1882.8
120022,159652,1882.8
159652,120022,1882.8
120022,159711,1924.8
159711,120022,1924.8
120022,159712,1882.8
159712,120022,1882.8
120022,159713,1933.9
159713,120022,1933.9
120022,405021,423.7
405021,120022,423.7
120022,405022,423.7
405022,120022,423.7
120022,405031,416.1
405031,120022,416.1
120022,405032,416.1
405032,120022,416.1
120022,405041,362.3
405041,120022,362.3
120022,405051,362.3
405051,120022,362.3
120022,405071,432.1
405071,120022,432.1
120022,405081,432.1
405081,120022,432.1
120022,405082,432.1
405082,120022,432.1
120022,405091,437.8
405091,120022,437.8
120022,405101,437.8
405101,120022,437.8
120022,405111,437.8
405111,120022,437.8
120022,405421,362.3
405421,120022,362.3
120022,405651,408.0
405651,120022,408.0
120022,405661,408.0
405661,120022,408.0
120022,405681,362.3
405681,120022,362.3
120022,405711,362.3
405711,120022,362.3
120022,405712,362.3
405712,120022,362.3
120022,405721,362.3
405721,120022,362.3
120022,406011,926.5
406011,120022,926.5
120022,406021,926.5
406021,120022,926.5
120022,406022,926.5
406022,120022,926.5
120022,406081,1231.4
406081,120022,1231.4
120022,406082,1231.4
406082,120022,1231.4
120022,406091,1231.4
406091,120022,1231.4
120022,406101,1262.2
406101,120022,1262.2
120022,406121,1262.2
406121,120022,1262.2
120022,701021,2098.0
701021,120022,2098.0
120022,701051,2090.9
701051,120022,2090.9
120022,701052,2090.9
701052,120022,2090.9
120022,701111,2105.9
701111,120022,2105.9
120022,701112,2105.9
701112,120022,2105.9
120022,701113,2105.9
701113,120022,2105.9
120022,701121,2105.9
701121,120022,2105.9
120022,702011,1820.2
702011,120022,1820.2
120022,702031,1820.2
702031,120022,1820.2
120022,702041,1857.8
702041,120022,1857.8
120022,702051,1857.8
702051,120022,1857.8
120022,702052,1857.8
702052,120022,1857.8
120022,702111,1839.1
702111,120022,1839.1
120022,702112,1839.1
702112,120022,1839.1
120022,702121,1839.1
702121,120022,1839.1
120022,703021,2090.3
703021,120022,2090.3
120022,703022,2090.3
703022,120022,2090.3
120022,703031,2090.3
703031,120022,2090.3
120022,703051,2170.5
703051,120022,2170.5
120022,703052,2170.5
703052,120022,2170.5
120022,703081,2111.5
703081,120022,2111.5
120022,703082,2111.5
703082,120022,2111.5
120022,703091,2111.5
703091,120022,2111.5
120022,703111,2046.7
703111,120022,2046.7
120022,703112,2046.7
703112,120022,2046.7
120022,709011,1921.6
709011,120022,1921.6
120022,709021,1921.6
709021,120022,1921.6
120022,709051,1921.6
709051,120022,1921.6
120022,709052,1921.6
