index,sensor_id,latitude,longitude,type,direction,code,geometry
0,120022,52.09082,4.3051,1,-1,120,POINT (52.09082 4.3051)
1,120023,52.09082,4.3051,1,1,120,POINT (52.09082 4.3051)
2,120051,52.09073,4.30464,0,-1,120,POINT (52.09073 4.30464)
3,120081,52.09101,4.30479,1,0,120,POINT (52.09101 4.30479)
4,120111,52.09097,4.30508,0,1,120,POINT (52.09097 4.30508)
5,120112,52.09097,4.30508,0,1,120,POINT (52.09097 4.30508)
6,120113,52.09097,4.30508,-1,1,120,POINT (52.09097 4.30508)
7,134021,52.08779,4.29642,0,0,134,POINT (52.08779 4.29642)
8,134031,52.08778,4.29636,1,1,134,POINT (52.08778 4.29636)
9,134041,52.08795,4.29579,-1,-1,134,POINT (52.08795 4.29579)
10,134051,52.088,4.29572,0,-1,134,POINT (52.088 4.29572)
11,134081,52.08818,4.29581,1,-1,134,POINT (52.08818 4.29581)
12,134111,52.08804,4.29669,0,1,134,POINT (52.08804 4.29669)
13,134112,52.08802,4.29671,0,1,134,POINT (52.08802 4.29671)
14,140031,52.08523,4.2934,1,1,140,POINT (52.08523 4.2934)
15,140041,52.08496,4.29295,-1,-1,140,POINT (52.08496 4.29295)
16,140051,52.08498,4.29289,0,-1,140,POINT (52.08498 4.29289)
17,140111,52.08537,4.29316,0,1,140,POINT (52.08537 4.29316)
18,140121,52.08538,4.29322,-1,1,140,POINT (52.08538 4.29322)
19,159051,52.08488,4.28272,0,-1,159,POINT (52.08488 4.28272)
20,159052,52.0849,4.28271,0,-1,159,POINT (52.0849 4.28271)
21,159082,52.08513,4.28267,1,0,159,POINT (52.08513 4.28267)
22,159111,52.08512,4.28377,0,1,159,POINT (52.08512 4.28377)
23,159112,52.08509,4.28383,0,1,159,POINT (52.08509 4.28383)
24,159651,52.08497,4.28342,0,-1,159,POINT (52.08497 4.28342)
25,159652,52.08498,4.28329,0,-1,159,POINT (52.08498 4.28329)
26,159711,52.08504,4.28306,0,1,159,POINT (52.08504 4.28306)
27,159712,52.08502,4.28321,0,1,159,POINT (52.08502 4.28321)
28,159713,52.085,4.2832,-1,1,159,POINT (52.085 4.2832)
29,405021,52.09247,4.31066,1,-1,405,POINT (52.09247 4.31066)
30,405022,52.09246,4.31061,1,-1,405,POINT (52.09246 4.31061)
31,405031,52.09245,4.31056,1,1,405,POINT (52.09245 4.31056)
32,405032,52.09244,4.31052,1,1,405,POINT (52.09244 4.31052)
33,405041,52.09231,4.30949,-1,-1,405,POINT (52.09231 4.30949)
34,405051,52.09233,4.30946,0,-1,405,POINT (52.09233 4.30946)
35,405071,52.09286,4.31006,0,1,405,POINT (52.09286 4.31006)
36,405081,52.09285,4.31012,-1,1,405,POINT (52.09285 4.31012)
37,405082,52.09289,4.31014,-1,1,405,POINT (52.09289 4.31014)
38,405091,52.09287,4.31021,-1,1,405,POINT (52.09287 4.31021)
39,405101,52.0928,4.31076,1,-1,405,POINT (52.0928 4.31076)
40,405111,52.09278,4.31078,1,1,405,POINT (52.09278 4.31078)
41,405641,52.0925,4.31013,-1,-1,405,POINT (52.0925 4.31013)
42,405651,52.0925,4.31013,-1,-1,405,POINT (52.0925 4.31013)
43,405661,52.09252,4.31009,0,-1,405,POINT (52.09252 4.31009)
44,405681,52.09258,4.30954,1,0,405,POINT (52.09258 4.30954)
45,405711,52.09256,4.30989,0,1,405,POINT (52.09256 4.30989)
46,405712,52.09254,4.3099,0,1,405,POINT (52.09254 4.3099)
47,405721,52.09252,4.30993,-1,1,405,POINT (52.09252 4.30993)
48,406011,52.09642,4.30725,-1,-1,406,POINT (52.09642 4.30725)
49,406021,52.09641,4.3072,0,-1,406,POINT (52.09641 4.3072)
50,406022,52.09639,4.30717,0,-1,406,POINT (52.09639 4.30717)
51,406081,52.09678,4.30653,0,1,406,POINT (52.09678 4.30653)
